human,humanLabel,parliamentary_term,parliamentary_termLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,funkcja,funkcjaLabel,partia_polityczna,partia_politycznaLabel
http://www.wikidata.org/entity/Q97732,Christine Buchholz,,,http://www.wikidata.org/entity/Q6581072,female,1971-04-02T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49764,The Left
http://www.wikidata.org/entity/Q97758,Gerd Langguth,,,http://www.wikidata.org/entity/Q6581097,male,1946-05-18T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q97872,Thomas Jarzombek,,,http://www.wikidata.org/entity/Q6581097,male,1973-04-28T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q97872,Thomas Jarzombek,,,http://www.wikidata.org/entity/Q6581097,male,1973-04-28T00:00:00Z,http://www.wikidata.org/entity/Q17781726,member of the Landtag of North Rhine-Westphalia,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q98019,Clemens Binninger,,,http://www.wikidata.org/entity/Q6581097,male,1962-04-24T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q98103,Philipp von Bismarck,,,http://www.wikidata.org/entity/Q6581097,male,1913-08-19T00:00:00Z,http://www.wikidata.org/entity/Q27169,member of the European Parliament,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q98103,Philipp von Bismarck,,,http://www.wikidata.org/entity/Q6581097,male,1913-08-19T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q98105,Tom Koenigs,,,http://www.wikidata.org/entity/Q6581097,male,1944-01-01T00:00:00Z,http://www.wikidata.org/entity/Q813389,Q813389,http://www.wikidata.org/entity/Q49766,Alliance '90/The Greens
http://www.wikidata.org/entity/Q98105,Tom Koenigs,,,http://www.wikidata.org/entity/Q6581097,male,1944-01-25T00:00:00Z,http://www.wikidata.org/entity/Q813389,Q813389,http://www.wikidata.org/entity/Q49766,Alliance '90/The Greens
http://www.wikidata.org/entity/Q98105,Tom Koenigs,,,http://www.wikidata.org/entity/Q6581097,male,1944-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49766,Alliance '90/The Greens
http://www.wikidata.org/entity/Q98105,Tom Koenigs,,,http://www.wikidata.org/entity/Q6581097,male,1944-01-25T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49766,Alliance '90/The Greens
